Reviewer Name,Review
Chiquita H.,"I could not ask for a more punctual, diligent, going above, and beyond what was provided by Kyle. He mount it to televisions and assembled a desk. One of the televisions was the picture frame television, and the other was mounted on a swivel. The desk, one of those that can be raised or lowered to a comfortable working position. 100% will use his services again. Thank you, Kyle.
Read less"
Andrew G.,"Talk about true professionalism, expertise and amazing work installing my TV. Kyle was amazing! Super professional, and exceeded my expectations. Highly recommend!"
Corea m.,"Very reasonable , installed 5 brackets and tv’s with no problem and put together two chandeliers that came in a thousand pieces . He was very pleasant and patient .."
Steve C.,Kyle called and said he could arrive early. He did and he quickly and professionally installed and set up my Fire TV. I would ask for his help again if needed.
Diann P.,"He did an excellent job,he did more than what he charged, very professional, I will recommend him any day.if you want a professional job like assembling furniture or setting up a gazebo, try Harford Handy you won't regret. My husband was so happy with the work done. Pictures to follow later."
Katherine A.,"My experience with Harford Handy was just great. Kyle was right on time and ready to get to the job at hand . I had a small a/c unit 
that needed installing and I wanted some noise cancelling from outside and darkening as well. Kyle came up with a great plan. Took his time evaluated his work as well and it came out great.
Do not hesitate to contact Harford Handy for small home repairs .
Read less"
Shari t.,"My TV was mounted on the wall within an hour. I had originally purchased a mount, which didn't work with my TV. The technician had another one with him, which saved me time and money."
Heather M.,We needed our living room TV professionally hung so that the wires were hidden and so I’d be able to utilize more of my mantle. Kyle was super prompt in responding to my first inquiry and so professional and timely when it came time for our appointment. He did a great job and even made our dogs feel loved! Definitely would work with him again.
Arlene L.,Kyle did an excellent job assembling my electric fireplace and was professional and courteous! He also stayed and fixed the wires from my TV and cable box so they wouldn’t show and hooked up my DVD box! It looks great! Will definitely be calling him again for more work!
Jacqueline D.,"Kyle had me and my boyfriend at hello, when he walked in and put covers over his shoes! Our first experience with him was amazing, as we are already hiring him for more jobs! Kyle is professional, friendly, efficient, knowledgeable, and affordable! He put together our bedroom dresser, our office desk and hung up our 65 inch TV all within a few hours! We are are so grateful to have been matched with Kyle, we couldn't do it without him! He is now our go-to handyman! Thank you Kyle!
Read less"
Heeral P.,"Kyle was such a great hire. We have always mounted TVs ourselves in the past, but with a bigger TV this time and busier schedules, we wanted to hire someone. Kyle gave us a great deal and was even able to put up our TV within an hour of posting our need. He was extremely professional, wore booties over his shoes, was able to work with 2 crazy kids running around, and was quick to think of solutions whenever we hit a snafu. We plan to hire him again for another TV we need to mount. Just hire him!
Read less"
Geoffrey A.,Kyle was able to come out quickly and got my electronic desk assembled in under an hour. Would absolutely recommend and hire again!
Eric A.,"Kyle was amazing helping to mount our TV. Despite challenges, he was able to make it look great and we will definitely use him again for anything he can help with!"
Darell m.,Great work We had two swings installed indoor a bed put together and curtain rods moved down
Marion R.,"Kylie was very professional. Explained to me what could and could not be done when mounting my television. I appreciate his honesty and his work ethics.

Marion"
Nicole S.,I don’t even know where to begin with Kyle! We had a rather large gazebo to build and knew we would need another set of hands. Kyle’s help was beyond wonderful. He made the process less stressful and now we have a wonderful gazebo! Kyle brought more than enough tools and was well prepared for the job. Thank you Kyle!
Asha L.,"I am very pleased with Harford Handy! Within 24 hours Kyle responded to me and scheduled an appointment at his earliest convenience. He was punctual, professional, and fair. My only complaint, I wished I had more furniture to move and disassemble/assemble. I would highly recommend Kyle and Harford Handy to anyone. Excellent service experience!!"
Linda B.,"I can not say enough about Kyle. Along side his excellent work/skills, he has a kind spirit/niceness that you don't see alot today with professionals. I already have another appointment setup. My sister also wants to make an appointment. Thanks again Kyle."
Nicole J.,"I needed floating shelves and a mirror hung up in my home. Weekends are the only time I truly can focus on home projects. I searched on thumbtack for assistance with this project and came across Kyle (Harford Handy). I immediately sent a message and immediately got feedback. His schedule was pretty full but he was able to accommodate same day and was right on time for our scheduled appt. 

It was a quick job overall but he took his time to make sure I was happy with the end results. I would highly recommend him. We look forward to hiring him in the future for other home projects.
Read less"
Craig R.,Communicated well and work was outstanding install TV’s on the wall
Jamesheia M.,Very affordable and reliable. Had only contacted him an hour before I needed the job done and he was able to do it and was quick at getting the job done. I would hire him again and would recommend him to others.
Bethany P.,"Kyle is amazing! Polite, competent, honest. I am already thinking of other projects he can help with in the future and am so grateful for his work assembling my daughter’s new dresser."
TinaMarie C.,"Definitely will book Kyle again. Quick turnaround, knowledgeable, professional and efficient. Excellent same day service flexibility!"
Donna B.,"I really appreciated how punctual he was, as well as his diligent, continuous work throughout the time he was at my place! He was task oriented, polite, and eager to ensure the work he completed was what I wanted at every step. My husband and I was impressed by everything he did today! I would definitely hire him for future projects!"
Reese l.,"I wanted to mount a TV from the ceiling which isn’t easy. Kyle did a excellent job, he responded immediately and helped me through it by showing me the mount I needed, extensively researching and finding a cord that would work on my TV as it was a 20’ run. Sent me pics of different race ways that would had the wire and even picked it up. 
He’s very knowledgeable and even helped set up the new TV that I’m not familiar with. GREAT JOB!
Read less"
Anab Y.,"I'm very pleased with the work Kyle did. He responded quickly and kept me updated until he arrived at my home. He is polite, respectful, professional and final result was flawless. He assembled a TV stand and an end table very quickly. Will definitely recommend him to others."
Shawn S.,"Had a great experience with Kyle! Had two endtables come earlier than expected and had no one to put them together for me until June, so I got on the app and saw Kyle’s reviews and decided to request him. He responded quickly, charged a great and fair price, was punctual and worked diligently to complete the project. Would definitely recommend! Plan to use him for any future projects
Read less"
Jeff S.,Kyle hung my 70” tv above fireplace. Very professional. He took his time to make sure the job was done correct. The final product was perfect!! Would definitely recommend him.
Ineshia F.,"Kyle was great!! Detailed oriented, respectful of home (wore booties to cover shoes), very responsive and professional. I would definitely use his service again and again. Thank you Kyle for giving us great service with a smile!"
Sana R.,"I used Harford Handy for various services by now. Kyle is very responsive and always on time. He is polite, knowledgeable and hardworking. During the job he explained in great detail and step by step what he was doing. He also answered my questions very patiently. He is trustworthy and reliable. Prices are very reasonable and most importantly he makes sure to get the job done. I would highly recommend Harford handy and and their services.
Read less"
Phil W.,"He was very professional and answered any questions I had, and most of all, he took his time"
Palmer S.,I had a bed built it was a bunk bed with a trundle the guy did a really good job and got it up fast
Midas J.,Very Professional and Precise. Highly recommend booking with Kyle.
Cynthia S.,Kyle is a great communicator and responds quickly. He hung up my mirror and other wall decor efficiently and professionally. I highly recommend Kyle!
Dionte C.,Was quick and highly efficient! Was in and out in 45 minutes no complaints highly recommend!
Terrence R.,Called and he responded in minutes and he came the same day. Will use again
Carol D.,"Mr Pearre's work ethics and quality are excellent. I will request him again when I have other work needed. 
 He assembled the dresser in good time, as well put it in place for me. 
 Thank you. 
 CD
Read less"
Amanda M.,"Kyle was great. Super nice, walked me through the process and did not want to do anything without my permission. He even pointed out a flaw in the bed he was assembling, and told me exactly what I needed to do to remedy the issue. 

I will for sure be using him again in the future!
Read less"
Shaina C.,Kyle put up a queen size bed as well as my china cabinet that came with horrible instructions. He knocked both projects out fast and I will be calling him again for my desk and chair. !!!
Deidra r.,"Awesome, fit me into his schedule right away. It was great."
Lisa L.,Awesome job putting together my IKEA bedroom furniture! Highly recommend!
Hunter P.,Incredible job replacing my touch screen on my treadmill. Kyle has done 5+ jobs at my home. He’s the best handyman I’ve worked with through my two investment properties. Highly recommend to anyone. Will miss him when I move to NC!
Rachelle C.,"I was very pleased with Kyle, he is very friendly, went above and beyond to get the project done. I will hire him again and recommend him to my friends."
Brittany B.,"Kyle was wonderful to work with. Responsive, reasonable prices, did a great job, came prepared with tools, and was masked for safety. We will be contacting him again for future jobs! Thanks Kyle!"
Lindsey P.,"Kyle was great! He was super responsive, friendly, and right on time."
Eileen B.,He did a fantastic job putting our executive assembling our executive cask and chair. B professional highly recommend
Lavonia J.,"Kyle arrived on time, answered lots of my questions and completed the task of mounting 3 tvs in under 2 hours."
Susan G.,"Mask, Booties, arrived 5 minutes early. Closing conversation on the work performed. Quality job."
Mich e.,Kyle was great with his knowledge of the work assembled quickly and did a great job thank you. I will recommend .
Kia H.,Very responsive and punctual. Friendly and put my deck set up in no time. Would definitely recommend and hire again .
Jordyn H.,Would totally recommend! On timez respected my home. Wore a mask and was very nice and professional
Samuel C.,Showed up on time and got the job done within the hour. We’ll definitely be hiring him again for future work!
Rennata e.,"Great experience and quick and reliable. Love, love, love the placement."
Ronald W.,Kyle does great work and is very professional. I have used him for several projects and highly recommend!
Allison G.,"Very responsive, on time, and got everything I needed done very quickly! Will definitely be calling him again."
Lindsay I.,Kyle did a fantastic job and was very personable
Kristin K.,"Great experience. Good communication, fair price, friendly and hard working."
